subwatershed,huc12,watershed,huc10,subbasin,huc8,basin,huc6,to_huc,area_sq_mi,area_acres,population_2000,population_2010,population_2020,Shape_Length,Shape_Area,Area_m2,PADPercArea
Mulberry Creek,030501010503,Johns River,0305010105,Upper Catawba,03050101,Catawba,030501,030501010505,41.531324332629524,26580.047569434656907,,1685,1564,80504.645851229041000,164696744.246662884950638,107565636.211626499891281,0.0000000
Lower Wilson Creek,030501010504,Johns River,0305010105,Upper Catawba,03050101,Catawba,030501,030501010506,28.602856423555238,18305.828108700530720,,1253,1314,72090.302484379732050,113315363.087523341178894,74081057.996184304356575,50.8574448
Middle Johns River,030501010505,Johns River,0305010105,Upper Catawba,03050101,Catawba,030501,030501010506,32.033252470750945,20501.281578620964865,,1643,1548,66915.392239347231225,126900545.092356473207474,82965743.006548821926117,0.1207666
Lower Johns River,030501010506,Johns River,0305010105,Upper Catawba,03050101,Catawba,030501,030501010801,25.258686089378227,16165.559095104901644,,1962,1725,63528.094538242257840,99795372.053635925054550,65419696.606668524444103,21.5714664
North Muddy Creek,030501010601,Silver Creek-Catawba River,0305010106,Upper Catawba,03050101,Catawba,030501,030501010603,33.894044977411234,21692.188782729055674,,8737,8334,64441.419019833148923,133190867.746506169438362,87785173.515732139348984,8.6573582
South Muddy Creek,030501010602,Silver Creek-Catawba River,0305010106,Upper Catawba,03050101,Catawba,030501,030501010603,39.780007847855096,25459.205019324428577,,4327,4590,76916.528425326090655,156211337.332953602075577,103029747.345069929957390,7.5864911
North Muddy Creek-Muddy Creek,030501010603,Silver Creek-Catawba River,0305010106,Upper Catawba,03050101,Catawba,030501,030501010607,24.927959790172970,15953.894263640997451,,3599,3893,51811.346814565265959,98068062.753223285079002,64563119.445132032036781,0.5842006
Upper Silver Creek,030501010604,Silver Creek-Catawba River,0305010106,Upper Catawba,03050101,Catawba,030501,030501010606,26.852724619665164,17185.743754356193676,,5284,5045,58280.258870969017153,105541608.961793497204781,69548237.339147895574570,15.8391504
Canoe Creek,030501010605,Silver Creek-Catawba River,0305010106,Upper Catawba,03050101,Catawba,030501,030501010607,15.464576341703038,9897.328857405960662,,1297,2202,49101.876959557215741,60991759.624729909002781,40053069.007839150726795,0.9007198
Lower Silver Creek,030501010606,Silver Creek-Catawba River,0305010106,Upper Catawba,03050101,Catawba,030501,030501010607,34.216826834788620,21898.769171423780790,,8677,8716,69368.676753601059318,134607175.170591920614243,88621174.802893519401550,15.5900574
Shadrick Creek-Catawba River,030501010607,Silver Creek-Catawba River,0305010106,Upper Catawba,03050101,Catawba,030501,030501010608,26.785691720697585,17142.842699022505258,,4731,4515,78541.126580372962053,105504687.681764677166939,69374623.465768367052078,1.5557442
Hunting Creek-Catawba River,030501010608,Silver Creek-Catawba River,0305010106,Upper Catawba,03050101,Catawba,030501,030501010801,31.332336946655865,20052.695643258310156,,17851,17957,62483.976531535685353,123400419.208654224872589,81150380.028166428208351,0.0000000
Upper Lower Creek,030501010701,Lower Creek,0305010107,Upper Catawba,03050101,Catawba,030501,030501010702,40.615941968762790,25994.202856635947683,,14263,14235,71956.438881234076689,160830214.817869544029236,105194806.698383510112762,2.2993913
Middle Lower Creek,030501010702,Lower Creek,0305010107,Upper Catawba,03050101,Catawba,030501,030501010703,23.977056668641012,15345.316265939492951,,8373,7867,61314.397788406800828,94813015.438789218664169,62100291.566385090351105,0.0000000
Lower Lower Creek,030501010703,Lower Creek,0305010107,Upper Catawba,03050101,Catawba,030501,030501010801,33.707465584517784,21572.777971292736765,,2925,2751,62436.675200276797113,133189441.963747203350067,87301934.875757023692131,0.3100309
McGalliard Creek-Rhodhiss Lake,030501010801,Rhodhiss Lake-Catawba River,0305010108,Upper Catawba,03050101,Catawba,030501,030501010802,47.513943053474385,30408.923550278646871,,18106,17409,68754.845191905696993,187368456.755827158689499,123060547.805495336651802,0.0000000
Freemason Creek-Catawba River,030501010802,Rhodhiss Lake-Catawba River,0305010108,Upper Catawba,03050101,Catawba,030501,030501010804,28.193808913208393,18044.037702112509578,,12643,12245,53499.759867914777715,111193422.659161627292633,73021629.817842230200768,0.4392715
Gunpowder Creek,030501010803,Rhodhiss Lake-Catawba River,0305010108,Upper Catawba,03050101,Catawba,030501,030501010804,45.415869798901873,29066.156667526436649,,22512,22773,72934.190728081171983,179370978.198624074459076,117626563.112729161977768,0.0046143
Drowning Creek-Catawba River,030501010804,Rhodhiss Lake-Catawba River,0305010108,Upper Catawba,03050101,Catawba,030501,030501010904,33.257170917531205,21284.589384458711720,,23758,23754,67092.812315223389305,131042038.771646112203598,86135677.937431752681732,0.0000000
Upper Little River,030501010901,Lake Hickory-Catawba River,0305010109,Upper Catawba,03050101,Catawba,030501,030501010904,47.129365040026329,30162.793621703822282,,9395,8292,74618.949858694104478,186313727.165393888950348,122064494.829625532031059,0.0000000
Upper Middle Little River,030501010902,Lake Hickory-Catawba River,0305010109,Upper Catawba,03050101,Catawba,030501,030501010903,36.907940861585139,23621.082148350116768,,2973,2805,63786.902809486033220,146118127.203551173210144,95591128.077774047851562,0.0000000
Lower Middle Little River,030501010903,Lake Hickory-Catawba River,0305010109,Upper Catawba,03050101,Catawba,030501,030501010904,23.375880147874184,14960.563292698636360,,5348,5252,49905.451407137799833,92363838.071089237928391,60543251.631247334182262,0.0000000
Lake Hickory-Catawba River,030501010904,Lake Hickory-Catawba River,0305010109,Upper Catawba,03050101,Catawba,030501,030501011005,34.257165944817032,21924.586201838614215,,28381,31744,67436.743804578552954,135140102.441293984651566,88725651.745141014456749,0.0000000
Lambert Fork,030501011001,Lookout Shoals Lake-Catawba River,0305010110,Upper Catawba,03050101,Catawba,030501,030501011003,14.564755863977647,9321.443751736418562,,909,882,44040.222557541907008,57702869.936565019190311,37722544.460131049156189,0.0000000
Grassy Creek-Lower Little River,030501011002,Lookout Shoals Lake-Catawba River,0305010110,Upper Catawba,03050101,Catawba,030501,030501011003,27.881286661168865,17844.023460833162972,,1692,1644,47994.376104528797441,110549903.877649009227753,72212200.969001501798630,0.0000000
Stirewalt Creek-Lower Little River,030501011003,Lookout Shoals Lake-Catawba River,0305010110,Upper Catawba,03050101,Catawba,030501,030501011004,36.809523342649392,23558.094936239409435,,6996,6840,68055.212804416514700,145655887.879328727722168,95336227.683030381798744,0.4937153
Glade Creek-Lower Little River,030501011004,Lookout Shoals Lake-Catawba River,0305010110,Upper Catawba,03050101,Catawba,030501,030501011005,17.671304500831788,11309.634879065139103,,4360,4221,39897.077329305335297,69859415.955063268542290,45768468.604996442794800,0.0000000
Lookout Shoals Lake,030501011005,Lookout Shoals Lake-Catawba River,0305010110,Upper Catawba,03050101,Catawba,030501,030501011105,42.312408164611696,27079.941221838391357,,7446,7445,64227.111180063657230,167015860.177081257104874,109588633.721219226717949,0.0000000
McLin Creek,030501011101,Upper Lake Norman,0305010111,Upper Catawba,03050101,Catawba,030501,030501011102,26.522035258081317,16974.102562969987048,,9350,9496,50238.774489738032571,104327567.431112498044968,68691755.857673764228821,0.0413841
Lyle Creek,030501011102,Upper Lake Norman,0305010111,Upper Catawba,03050101,Catawba,030501,030501011105,47.450909328962972,30368.581966596575512,,23653,23441,75201.290440919750836,186954998.461219131946564,122897291.245900064706802,0.1612671
Buffalo Shoals Creek,030501011103,Upper Lake Norman,0305010111,Upper Catawba,03050101,Catawba,030501,030501011105,22.807400128485273,14596.736080336933810,,4030,4104,46749.380035892281740,89920423.409919932484627,59070895.289358235895634,0.7782522
Balls Creek,030501011104,Upper Lake Norman,0305010111,Upper Catawba,03050101,Catawba,030501,030501011105,19.160624581963873,12262.799730866021491,,3373,3332,53087.049959095376835,75351890.058181151747704,49625789.203794687986374,0.0000000
Terrapin Creek-Lake Norman,030501011105,Upper Lake Norman,0305010111,Upper Catawba,03050101,Catawba,030501,030501011106,38.093888779585505,24380.088815771883674,,6398,6903,100919.750120472788694,149938659.857992261648178,98662718.853488907217979,0.0000000
Stumpy Creek-Lake Norman,030501011106,Upper Lake Norman,0305010111,Upper Catawba,03050101,Catawba,030501,030501011202,53.176638128058094,34033.048397542057501,,16973,22223,75720.710434475971851,209046725.908114820718765,137726860.314015507698059,0.0669313
Mountain Creek,030501011201,Lower Lake Norman,0305010112,Upper Catawba,03050101,Catawba,030501,030501011202,43.269457537516189,27692.452820417809562,,9408,9961,57533.912588290695567,169866950.566434949636459,112067381.227231904864311,0.0000000
Little Creek-Lake Norman,030501011202,Lower Lake Norman,0305010112,Upper Catawba,03050101,Catawba,030501,030501011204,29.579680052480889,18930.995231131844776,,14532,20566,62999.988651769963326,116025234.781865194439888,76611019.680304095149040,0.0000000
Reeds Creek-Lake Norman,030501011203,Lower Lake Norman,0305010112,Upper Catawba,03050101,Catawba,030501,030501011204,37.420449270415688,23949.087529959117091,,28042,35084,64686.719768640687107,146695529.863678723573685,96918514.140959888696671,0.1150040
Catawba River-Lake Norman,030501011204,Lower Lake Norman,0305010112,Upper Catawba,03050101,Catawba,030501,030501011402,26.410686145910592,16902.839131189964974,,12334,16185,51210.107529237822746,103369582.476561933755875,68403367.853524416685104,0.5061021
Upper Leepers Creek,030501011301,Dutchmans Creek,0305010113,Upper Catawba,03050101,Catawba,030501,030501011302,28.270477952065338,18093.105886974590248,,8948,9511,56368.954999947993201,110777703.613452285528183,73220201.819520726799965,0.0000000
Lower Leepers Creek,030501011302,Dutchmans Creek,0305010113,Upper Catawba,03050101,Catawba,030501,030501011304,30.577184314144404,19569.397958513673075,,6221,6215,70602.118581965682097,119562982.716773271560669,79194543.780092403292656,0.0000000
Upper Dutchmans Creek,030501011303,Dutchmans Creek,0305010113,Upper Catawba,03050101,Catawba,030501,030501011304,51.710797771831331,33094.910569678635511,,12325,15164,76022.372532740089810,202440087.150282949209213,133930351.484602451324463,0.5973163
Lower Dutchmans Creek,030501011304,Dutchmans Creek,0305010113,Upper Catawba,03050101,Catawba,030501,030501011405,30.712806296721645,19656.196027351845260,,14426,17571,59514.163498724810779,119822156.375971198081970,79545802.760267093777657,4.7533598
McDowell Creek,030501011401,Mountain Island Lake-Catawba River,0305010114,Upper Catawba,03050101,Catawba,030501,030501011402,29.129888032324224,18643.128338268921652,,42872,53629,59185.047946678139851,113853270.680365189909935,75446063.763248458504677,6.2815485
Mountain Island Lake,030501011402,Mountain Island Lake-Catawba River,0305010114,Upper Catawba,03050101,Catawba,030501,030501011405,45.190518844086078,28921.932056463036133,,23233,26805,89775.597615747770760,176445110.005348443984985,117042906.640826866030693,11.7933779
Long Creek,030501011403,Mountain Island Lake-Catawba River,0305010114,Upper Catawba,03050101,Catawba,030501,030501011405,36.231920494226060,23188.429113296435389,,45841,58903,69610.478038464134443,141259886.666780531406403,93840243.218394547700882,3.1223977
Paw Creek-Lake Wylie,030501011404,Mountain Island Lake-Catawba River,0305010114,Upper Catawba,03050101,Catawba,030501,030501011405,18.664381305956489,11945.204034262495043,,19536,23395,46837.047089800493268,72641211.139692336320877,48340525.695321477949619,1.7689240
Fites Creek-Catawba River,030501011405,Mountain Island Lake-Catawba River,0305010114,Upper Catawba,03050101,Catawba,030501,030501011406,17.131237465637710,10963.991976585770317,,15426,19936,51361.033198464807356,66693901.036982044577599,44369701.267634995281696,2.5810897
Lake Wylie-Catawba River,030501011406,Mountain Island Lake-Catawba River,0305010114,Upper Catawba,03050101,Catawba,030501,030501011505,16.423631343222027,10511.124058298484670,,12618,20149,42105.210647611653258,63797249.156762346625328,42537009.814012445509434,4.6032662
Upper Crowders Creek,030501011501,Lake Wylie-Catawba River,0305010115,Upper Catawba,03050101,Catawba,030501,030501011504,41.444835794594958,26524.694905099713651,,25782,26444,67196.085927449865267,161265187.375496774911880,107341631.918073534965515,2.4822154
Catawba Creek,030501011502,Lake Wylie-Catawba River,0305010115,Upper Catawba,03050101,Catawba,030501,030501011505,31.630241522241651,20243.354571608477272,,38641,44228,62311.774844170657161,122991975.806618347764015,81921949.282695651054382,1.0120070
Lower Crowders Creek,030501011504,Lake Wylie-Catawba River,0305010115,Upper Catawba,03050101,Catawba,030501,030501011508,30.359987675410075,19430.392109741733293,,11029,11216,76573.722754623027868,117984768.565547108650208,78631999.061126083135605,4.2744598
Mill Creek-Lake Wylie,030501011505,Allison Creek,0305010115,Catawba,03050101,Broad,030501,030501011508,12.869430419690133,8236.435467533168776,,3827,6391,59957.479500320303487,49936740.605633772909641,33331671.380893867462873,12.9162025
Torrence Branch-Lake Wylie,030501011508,Lake Wylie-Catawba River,0305010115,Upper Catawba,03050101,Catawba,030501,030501030602,4.699837810366303,3007.896198244217885,,1933,4698,21689.898016305040073,18211462.210703980177641,12172471.636812437325716,4.2063951
Upper Henry Fork,030501020101,Henry Fork,0305010201,South Fork Catawba,03050102,Catawba,030501,030501020102,53.114326921256215,33993.169225194033061,,6252,5803,90280.750696102171787,208809178.527846157550812,137565475.130695343017578,27.6441765
Middle Henry Fork,030501020102,Henry Fork,0305010201,South Fork Catawba,03050102,Catawba,030501,030501020103,30.445353509787967,19485.026243736498145,,6205,5772,65248.957302482478553,119779245.573162302374840,78853103.545685634016991,1.8255095
Lower Henry Fork,030501020103,Henry Fork,0305010201,South Fork Catawba,03050102,Catawba,030501,030501020403,30.975020702059705,19824.013246746431832,,17900,18458,58463.518843227568141,121880624.549974679946899,80224935.429462864995003,1.5170999
Upper Jacob Fork,030501020201,Jacob Fork,0305010202,South Fork Catawba,03050102,Catawba,030501,030501020202,43.608777618010109,27909.617671905743919,,3336,3148,67228.961860883733607,171195867.047385722398758,112946215.569043442606926,34.6913414
Lower Jacob Fork,030501020202,Jacob Fork,0305010202,South Fork Catawba,03050102,Catawba,030501,030501020403,52.670806878281560,33709.316397727074218,,10012,9881,86144.535324540120200,206925202.459315061569214,136416763.280987679958344,0.6121288
Maiden Creek,030501020301,Clark Creek,0305010203,South Fork Catawba,03050102,Catawba,030501,030501020302,26.036347213814519,16663.262214679558383,,6870,6759,45372.038415442133555,102204881.370900690555573,67433829.495826825499535,0.6487004
Upper Clark Creek,030501020302,Clark Creek,0305010203,South Fork Catawba,03050102,Catawba,030501,030501020303,39.286065798326383,25143.082107667065429,,18797,19198,71292.554409841934103,154485571.705201059579849,101750442.606418028473854,0.0000000
Lower Clark Creek,030501020303,Clark Creek,0305010203,South Fork Catawba,03050102,Catawba,030501,030501020403,25.791347544786042,16506.462426521677116,,10975,11376,50492.819497115640843,101075414.611946955323219,66799283.818075418472290,0.0000000
Pott Creek,030501020401,Upper South Fork Catawba River,0305010204,South Fork Catawba,03050102,Catawba,030501,030501020403,27.197093071008727,17406.139563187476597,,3414,3471,52127.200286733699613,106717258.287024438381195,70440147.808508992195129,1.5560304
Howards Creek,030501020402,Upper South Fork Catawba River,0305010204,South Fork Catawba,03050102,Catawba,030501,030501020403,33.851773285824365,21665.134900116965582,,4306,4450,61953.143132478522602,132636195.501952335238457,87675689.773184165358543,0.1120309
